year,month,day,title,file
2021,05,19,‘This time is different’: Gaza journalists on Israeli bombardment,data_in/articles\2021-05-19_4644.txt
2021,05,19,Biden pushes Netanyahu for a ‘path to a ceasefire’ in Gaza,data_in/articles\2021-05-19_4645.txt
2021,05,19,A history of the US blocking UN resolutions against Israel,data_in/articles\2021-05-19_4646.txt
2021,05,19,"Photos: No let-up in Israeli bombardment of Gaza, 219 killed",data_in/articles\2021-05-19_4647.txt
2021,05,19,US says UNSC statement won’t calm Israel-Palestine violence,data_in/articles\2021-05-19_4648.txt
2021,05,19,Israeli air raid kills Palestinian journalist in his Gaza house,data_in/articles\2021-05-19_4649.txt
2021,05,19,Google employees urge firm to support Palestinians: Report,data_in/articles\2021-05-19_4650.txt
2021,05,19,YouTube pulls age restriction from Al Jazeera Arabic live stream,data_in/articles\2021-05-19_4651.txt
2021,05,19,Pro-Palestinian protesters boo Biden during Michigan visit,data_in/articles\2021-05-19_4652.txt
2021,05,19,"Pogba, Diallo hold up Palestine flag at Manchester United match",data_in/articles\2021-05-19_4653.txt
2021,05,19,Netanyahu ‘determined’ to continue Gaza bombardment,data_in/articles\2021-05-19_4654.txt
2021,05,20,Israel and Hamas agree Gaza ceasefire after 11 days of fighting,data_in/articles\2021-05-20_4630.txt
2021,05,20,Racial reckoning is shifting US public opinion on Palestine,data_in/articles\2021-05-20_4631.txt
2021,05,20,In Pictures: New baby brings joy to displaced family in Gaza,data_in/articles\2021-05-20_4632.txt
2021,05,20,How did fighting between Israelis and Palestinians get so bad?,data_in/articles\2021-05-20_4633.txt
2021,05,20,UN chief urges immediate ceasefire in Israel-Palestine conflict,data_in/articles\2021-05-20_4634.txt
2021,05,20,Sanders introduces legislation to block US arms sale to Israel,data_in/articles\2021-05-20_4635.txt
2021,05,20,Why Netanyahu thinks America is stupid,data_in/articles\2021-05-20_4636.txt
2021,05,20,‘They aim to kill’: Gaza doctors recount experiences as war rages,data_in/articles\2021-05-20_4637.txt
2021,05,20,Are attitudes towards Palestine shifting in the US?,data_in/articles\2021-05-20_4638.txt
2021,05,20,"Gaza: Israeli air raid kills disabled man, pregnant wife, child",data_in/articles\2021-05-20_4639.txt
2021,05,20,Celebrations in Gaza as ceasefire takes hold,data_in/articles\2021-05-20_4640.txt
2021,05,21,Hamas claims victory as Gaza celebrates ceasefire,data_in/articles\2021-05-21_4616.txt
2021,05,21,Gaza: Daunting rebuilding task after 11 days of Israeli bombing,data_in/articles\2021-05-21_4617.txt
2021,05,21,Is US opinion shifting on the Israel-Palestine conflict?,data_in/articles\2021-05-21_4618.txt
2021,05,21,Pakistan marks ‘Palestine Day’ as FM accused of anti-Semitism,data_in/articles\2021-05-21_4619.txt
2021,05,21,After Gaza ceasefire: ‘What’s Biden’s plan? There’s zero plan’,data_in/articles\2021-05-21_4620.txt
2021,05,21,"Despite Gaza bloodshed, few see Abraham Accords derailing",data_in/articles\2021-05-21_4621.txt
2021,05,21,The AU’s words of solidarity for Palestine are no longer enough,data_in/articles\2021-05-21_4622.txt
2021,05,21,"Israel, social media groups cooperating against Palestinians: NGO",data_in/articles\2021-05-21_4623.txt
2021,05,21,In Pictures: Celebrations across Gaza after 11 days of bombing,data_in/articles\2021-05-21_4624.txt
2021,05,21,"Mapping Gaza: Schools, hospitals, refugee camps and more",data_in/articles\2021-05-21_4625.txt
2021,05,21,Man arrested in India for Facebook appeal to hoist Palestine flag,data_in/articles\2021-05-21_4626.txt
2021,05,21,"Sheikh Jarrah is ‘under a siege,’ Palestinian residents say",data_in/articles\2021-05-21_4627.txt
2021,05,21,Israel and Hamas claim victory as fragile ceasefire holds,data_in/articles\2021-05-21_4628.txt
2021,05,21,World reaction to the Israel-Hamas ceasefire in Gaza,data_in/articles\2021-05-21_4629.txt
2021,05,22,UN urges ‘full adherence to ceasefire’ as life resumes in Gaza,data_in/articles\2021-05-22_4607.txt
2021,05,22,‘Disgraceful’: AP slammed for sacking reporter amid Palestine row,data_in/articles\2021-05-22_4608.txt
2021,05,22,Qatar pledges to help stop Israeli attacks on Palestinians,data_in/articles\2021-05-22_4609.txt
2021,05,22,What’s next after Gaza ceasefire?,data_in/articles\2021-05-22_4610.txt
2021,05,22,"US top diplomat Blinken to visit Israel, West Bank next week",data_in/articles\2021-05-22_4611.txt
2021,05,22,Palestinian solidarity protests held around the world,data_in/articles\2021-05-22_4612.txt
2021,05,22,Incite and inflame: Israel’s manipulation of the media,data_in/articles\2021-05-22_4613.txt
2021,05,22,"Gaza attacks: Fear, finality, and farewells as bombs rained down",data_in/articles\2021-05-22_4614.txt
2021,05,22,Riyad al-Maliki: Is the Palestinian Authority still relevant?,data_in/articles\2021-05-22_4615.txt
2021,05,23,Israel-Hamas ceasefire holds as UN launches Gaza aid appeal,data_in/articles\2021-05-23_4600.txt
2021,05,23,From the Twitter trenches: The Israeli army’s propaganda war,data_in/articles\2021-05-23_4601.txt
2021,05,23,US committed to ‘giving Israel means to defend itself’: Blinken,data_in/articles\2021-05-23_4602.txt
2021,05,23,In Pictures: Palestinian solidarity rallies around the world,data_in/articles\2021-05-23_4603.txt
2021,05,23,"Backed by Israeli police, Jewish settlers enter Al-Aqsa compound",data_in/articles\2021-05-23_4604.txt
2021,05,23,The hardline Israelis stoking violence in East Jerusalem,data_in/articles\2021-05-23_4605.txt
2021,05,23,Will Canada’s PM Justin Trudeau finally keep his word?,data_in/articles\2021-05-23_4606.txt
2021,05,24,Israeli businesses register $368M in losses during Gaza violence,data_in/articles\2021-05-24_4592.txt
2021,05,24,What Trevor Noah gets wrong about Palestine,data_in/articles\2021-05-24_4593.txt
2021,05,24,"As Gaza mourns, support builds to condition US aid to Israel",data_in/articles\2021-05-24_4594.txt
2021,05,24,US: Blinken heads to Middle East amid Gaza ceasefire,data_in/articles\2021-05-24_4595.txt
2021,05,24,‘A war declaration’: Palestinians in Israel decry mass arrests,data_in/articles\2021-05-24_4596.txt
2021,05,24,"Two Israelis stabbed, assailant killed in occupied East Jerusalem",data_in/articles\2021-05-24_4597.txt
2021,05,24,Root causes of Israel-Palestine conflict must be addressed: UNRWA,data_in/articles\2021-05-24_4598.txt
2021,05,24,In Pictures: Cleaning up a Gaza massacre,data_in/articles\2021-05-24_4599.txt
2021,05,25,Blinken announces US plans to reopen Jerusalem consulate,data_in/articles\2021-05-25_4581.txt
2021,05,25,Challenges impede war-ravaged Gaza’s reconstruction efforts,data_in/articles\2021-05-25_4582.txt
2021,05,25,Urgently needed – a ‘Palestinian-Montrealer’!,data_in/articles\2021-05-25_4583.txt
2021,05,25,Palestinian groups slam UNRWA director’s comments on Gaza attacks,data_in/articles\2021-05-25_4584.txt
2021,05,25,Palestinian man killed by Israeli undercover unit in West Bank,data_in/articles\2021-05-25_4585.txt
2021,05,25,Blinken pledges $75m in US assistance to Palestinians,data_in/articles\2021-05-25_4586.txt
2021,05,25,In Pictures: Gaza fishermen back on the water after ceasefire,data_in/articles\2021-05-25_4587.txt
2021,05,25,"Now that the guns are silent, minds turn to reconstruction",data_in/articles\2021-05-25_4588.txt
2021,05,25,Blinken’s Middle East visit: ‘What can he offer?’,data_in/articles\2021-05-25_4589.txt
2021,05,25,‘We will not give up’: Palestinians in Gaza rebuild from scratch,data_in/articles\2021-05-25_4590.txt
2021,05,25,Biden discusses Gaza ceasefire with Egypt’s President el-Sisi,data_in/articles\2021-05-25_4591.txt
2021,05,26,Advocates demand Facebook end ‘blatant’ Palestinian censorship,data_in/articles\2021-05-26_4573.txt
2021,05,26,Blinken claims progress in effort to boost Israel-Hamas truce,data_in/articles\2021-05-26_4574.txt
2021,05,26,Hamas leader says group won’t touch Gaza reconstruction aid,data_in/articles\2021-05-26_4575.txt
2021,05,26,The life and death of one Palestinian child,data_in/articles\2021-05-26_4576.txt
2021,05,26,Israeli court delays ruling on expulsion of families in Silwan,data_in/articles\2021-05-26_4577.txt
2021,05,26,Ireland condemns Israel’s ‘de facto annexation’ of Palestine,data_in/articles\2021-05-26_4578.txt
2021,05,26,"Biden, Palestine, and the buttressing of Christian Zionism",data_in/articles\2021-05-26_4579.txt
2021,05,26,"Blinken visits Egypt, Jordan to support Israel-Hamas ceasefire",data_in/articles\2021-05-26_4580.txt
2021,05,27,UN rights council to investigate crimes during Gaza conflict,data_in/articles\2021-05-27_4566.txt
2021,05,27,US emphasis on PA in Gaza reconstruction risks ‘backfire’,data_in/articles\2021-05-27_4567.txt
2021,05,27,"This time, the International Criminal Court is watching",data_in/articles\2021-05-27_4568.txt
2021,05,27,UN appeals for $95m for urgent Palestinian aid,data_in/articles\2021-05-27_4569.txt
2021,05,27,Israel’s Gaza strikes may constitute ‘war crimes’: UN’s Bachelet,data_in/articles\2021-05-27_4570.txt
2021,05,27,"Is there hope for revived peace talks on Palestine, Israel?",data_in/articles\2021-05-27_4571.txt
2021,05,27,Pakistani FM: ‘Can the US afford to ignore Pakistan?’,data_in/articles\2021-05-27_4572.txt
2021,05,28,Israeli forces kill Palestinian in occupied West Bank: Ministry,data_in/articles\2021-05-28_4561.txt
2021,05,28,Generation Z will free Palestine,data_in/articles\2021-05-28_4562.txt
2021,05,28,Profits or Palestine? UAE-Israel deals likely to continue quietly,data_in/articles\2021-05-28_4563.txt
2021,05,28,Why is the Palestinian Authority arresting West Bank activists?,data_in/articles\2021-05-28_4564.txt
2021,05,28,‘Terrorising a generation’: Israel arresting Palestinian children,data_in/articles\2021-05-28_4565.txt
2021,05,29,US faces ‘difficult questions’ on Egypt ties after Gaza ceasefire,data_in/articles\2021-05-29_4558.txt
2021,05,29,Israel-Palestine: The double standard in American newsrooms,data_in/articles\2021-05-29_4559.txt
2021,05,29,‘No longer afraid’: Palestinians vow to fight Jerusalem evictions,data_in/articles\2021-05-29_4560.txt
2021,05,30,"Israel, Egypt hold talks aimed at ‘permanent ceasefire’ in Gaza",data_in/articles\2021-05-30_4552.txt
2021,05,30,A doctor’s oath and occupied Palestine,data_in/articles\2021-05-30_4553.txt
2021,05,30,How a Palestinian man with autism was killed by Israeli police,data_in/articles\2021-05-30_4554.txt
2021,05,30,Israel FM arrives in Egypt for Gaza ‘permanent ceasefire’ talks,data_in/articles\2021-05-30_4555.txt
2021,05,30,‘Wake up screaming’: Gaza’s children traumatised by Israeli war,data_in/articles\2021-05-30_4556.txt
2021,05,30,Killing with impunity: Israel’s undercover units in Palestine,data_in/articles\2021-05-30_4557.txt
2021,05,31,Egypt’s intelligence chief holds talks with Hamas in Gaza Strip,data_in/articles\2021-05-31_4550.txt
2021,05,31,"In this confrontation with apartheid Israel, the Palestinians won",data_in/articles\2021-05-31_4551.txt
2021,06,01,Fear barrier broken despite hundreds of arrests in Jerusalem,data_in/articles\2021-06-01_4546.txt
2021,06,01,Israel losing US perception battle as Palestinian sympathy grows,data_in/articles\2021-06-01_4547.txt
2021,06,01,Israel rolls back army chief comments on AP’s ‘coffee with Hamas’,data_in/articles\2021-06-01_4548.txt
2021,06,01,Palestine and the UN’s ‘responsibility to protect’ doctrine,data_in/articles\2021-06-01_4549.txt
2021,06,02,Facebook employees demand change around Palestine posts: Report,data_in/articles\2021-06-02_4541.txt
2021,06,02,"‘Staggering’: WHO says 200,000 Palestinians in need of health aid",data_in/articles\2021-06-02_4542.txt
2021,06,02,Why Israel is angry,data_in/articles\2021-06-02_4543.txt
2021,06,02,UN says forced expulsion of Palestinians a ‘violation’ of law,data_in/articles\2021-06-02_4544.txt
2021,06,02,Shattered rooms in Gaza show Israeli attacks’ toll on children,data_in/articles\2021-06-02_4545.txt
2021,06,03,‘No difference’: Palestinians react to Israeli coalition deal,data_in/articles\2021-06-03_4537.txt
2021,06,03,Egypt used Gaza ceasefire to ‘improve its standing in Washington’,data_in/articles\2021-06-03_4538.txt
2021,06,03,Netanyahu’s Netanyahus take charge in Israel,data_in/articles\2021-06-03_4539.txt
2021,06,03,Will Israel be held accountable for war crimes?,data_in/articles\2021-06-03_4540.txt
2021,06,04,Israeli police attack Palestinians running to protest expulsions,data_in/articles\2021-06-04_4532.txt
2021,06,04,Support for Israel shifts among young US evangelical Christians,data_in/articles\2021-06-04_4533.txt
2021,06,04,How the JDA can and cannot advance Palestinian rights,data_in/articles\2021-06-04_4534.txt
2021,06,04,Absolving empire in Palestine,data_in/articles\2021-06-04_4535.txt
2021,06,04,Infographic: What you need to know about Israel’s military,data_in/articles\2021-06-04_4536.txt
2021,06,05,Al Jazeera denounces Israeli assault and arrest of its journalist,data_in/articles\2021-06-05_4528.txt
2021,06,05,Israel releases Al Jazeera journalist after hours-long arrest,data_in/articles\2021-06-05_4529.txt
2021,06,05,‘Unfathomable’: Activists renew call to end US aid to Israel,data_in/articles\2021-06-05_4530.txt
2021,06,05,"‘Laughable, naive’: Palestinian party’s move to join Israel gov’t",data_in/articles\2021-06-05_4531.txt
2021,06,06,Al Jazeera journalist leaves hospital day after Israeli arrest,data_in/articles\2021-06-06_4526.txt
2021,06,06,Israel releases Sheikh Jarrah activists after hours-long arrests,data_in/articles\2021-06-06_4527.txt
2021,06,07,Israeli attorney general will not intervene in Sheikh Jarrah case,data_in/articles\2021-06-07_4519.txt
2021,06,07,"China’s ties with Israel are tested by Gaza, but not sorely",data_in/articles\2021-06-07_4520.txt
2021,06,07,Israel-Palestine: The politics at play | Start Here,data_in/articles\2021-06-07_4521.txt
2021,06,07,Israeli police bar right-wing march through Jerusalem’s Old City,data_in/articles\2021-06-07_4522.txt
2021,06,07,Palestinian village pays high price in defence of its land,data_in/articles\2021-06-07_4523.txt
2021,06,07,How the Gaza war affected Palestinian politics,data_in/articles\2021-06-07_4524.txt
2021,06,07,Hamas releases audio allegedly of Israeli soldier it holds,data_in/articles\2021-06-07_4525.txt
2021,06,08,Israel to allow right-wing march through Jerusalem’s Old City,data_in/articles\2021-06-08_4517.txt
2021,06,08,Groups urge Biden to halt $735m weapons sale to Israel,data_in/articles\2021-06-08_4518.txt
2021,06,09,Bomb disposal squad in Gaza faces risks amid little protection,data_in/articles\2021-06-09_4515.txt
2021,06,09,New generation: Israel crackdown spotlights Palestinian ‘icons’,data_in/articles\2021-06-09_4516.txt
2021,06,10,A question from Ilhan Omar sparks furore in US Congress,data_in/articles\2021-06-10_4510.txt
2021,06,10,Israeli court postpones Silwan forced displacement hearing,data_in/articles\2021-06-10_4511.txt
2021,06,10,Why Israel is so desperate to silence #SaveSheikhJarrah,data_in/articles\2021-06-10_4512.txt
2021,06,10,Amnesty raises alarm as Israel shuts Palestinian health provider,data_in/articles\2021-06-10_4513.txt
2021,06,10,Israeli forces kill Palestinian officers in ‘undercover mission’,data_in/articles\2021-06-10_4514.txt
2021,06,11,"Bitcoin Beach, child labour, Oman’s youth and an $18.9M coin",data_in/articles\2021-06-11_4504.txt
2021,06,11,Israel forces kill Palestinian teen at occupied West Bank protest,data_in/articles\2021-06-11_4505.txt
2021,06,11,Israel closes case of prison officers filmed beating Palestinians,data_in/articles\2021-06-11_4506.txt
2021,06,11,"US policy on Israel: Go bold, Joe",data_in/articles\2021-06-11_4507.txt
2021,06,11,Demolishing Palestinian homes for an Israeli religious theme park,data_in/articles\2021-06-11_4508.txt
2021,06,11,Gamers rally behind indie charity bundle for Palestinians,data_in/articles\2021-06-11_4509.txt
2021,06,12,From Sheikh Jarrah to Gaza: Journalism under apartheid,data_in/articles\2021-06-12_4503.txt
2021,06,14,New Israeli gov’t approves right-wing march through Jerusalem,data_in/articles\2021-06-14_4500.txt
2021,06,14,New Israeli government an ‘opportunity’ for Biden,data_in/articles\2021-06-14_4501.txt
2021,06,14,Reckoning with Laughter: Noam Shuster returns to Israel,data_in/articles\2021-06-14_4502.txt
2021,06,15,"Israel launches air raids on Gaza, first since truce with Hamas",data_in/articles\2021-06-15_4495.txt
2021,06,15,Biden to nominate Thomas Nides as US ambassador to Israel,data_in/articles\2021-06-15_4496.txt
2021,06,15,Gaza: Protests against Israeli far-right march through Jerusalem,data_in/articles\2021-06-15_4497.txt
2021,06,15,Israeli far-right groups march through occupied East Jerusalem,data_in/articles\2021-06-15_4498.txt
2021,06,15,Palestinian medics on the front line fighting to save lives,data_in/articles\2021-06-15_4499.txt
2021,06,16,Palestinian woman shot dead by Israeli troops near Jerusalem,data_in/articles\2021-06-16_4494.txt
2021,06,17,Israeli air raids target Gaza for second time since ceasefire,data_in/articles\2021-06-17_4490.txt
2021,06,17,Israeli officer charged in killing of autistic Palestinian,data_in/articles\2021-06-17_4491.txt
2021,06,17,Gaza recycles rubble as Israel upholds ban on construction goods,data_in/articles\2021-06-17_4492.txt
2021,06,17,Moroccan king congratulates Israel’s new prime minister,data_in/articles\2021-06-17_4493.txt
2021,06,21,"Israel allows limited Gaza exports, one month after truce",data_in/articles\2021-06-21_4488.txt
2021,06,21,Gaza survivors face rebuilding – again – after Israel’s attack,data_in/articles\2021-06-21_4489.txt
2021,06,22,Israel forces target Palestinian demonstrators in East Jerusalem,data_in/articles\2021-06-22_4485.txt
2021,06,22,Hamas-UN talks over Gaza’s humanitarian situation have ‘failed’,data_in/articles\2021-06-22_4486.txt
2021,06,22,Israeli police attack Palestinian protesters in Sheikh Jarrah,data_in/articles\2021-06-22_4487.txt
2021,06,23,Israel and Palestine,data_in/articles\2021-06-23_4481.txt
2021,06,23,Gaza factions warn Israel delaying aid could reignite fighting,data_in/articles\2021-06-23_4482.txt
2021,06,23,‘My Zionism’: Israel’s latest unsuccessful PR stunt,data_in/articles\2021-06-23_4483.txt
2021,06,23,Aid to Palestinians promised by US blocked by Republican senator,data_in/articles\2021-06-23_4484.txt
2021,06,24,Palestine Monetary Authority mulls digital currency,data_in/articles\2021-06-24_4479.txt
2021,06,24,Palestinian Authority critic dies during arrest by PA,data_in/articles\2021-06-24_4480.txt
2021,06,25,UN urges Israel to ‘immediately’ halt settlement expansion,data_in/articles\2021-06-25_4477.txt
2021,06,25,Israeli settlers refuse to vacate illegal West Bank settlement,data_in/articles\2021-06-25_4478.txt
2021,06,26,Sliman Mansour: The art of the Palestinian resistance,data_in/articles\2021-06-26_4476.txt
2021,06,28,Palestinian children feel abandoned amid home demolitions: NGO,data_in/articles\2021-06-28_4474.txt
2021,06,28,‘Bullets and batons’: Palestinian Authority beats back dissent,data_in/articles\2021-06-28_4475.txt
2021,06,29,"Hezbollah leader, Hamas chief discuss recent Gaza fighting",data_in/articles\2021-06-29_4471.txt
2021,06,29,Demolitions begin in occupied East Jerusalem’s Silwan,data_in/articles\2021-06-29_4472.txt
2021,06,29,Progress on mutual interests in spotlight as Israel FM visits UAE,data_in/articles\2021-06-29_4473.txt
2021,06,30,Settlers in occupied West Bank agree to evacuate illegal outpost,data_in/articles\2021-06-30_4469.txt
2021,06,30,Thousands of Palestinians swept up in Israeli arrest campaign,data_in/articles\2021-06-30_4470.txt
2021,07,01,Israeli military’s TikTok attempt to make propaganda cool,data_in/articles\2021-07-01_4468.txt
2021,07,02,Can United Arab List change Israeli politics from within?,data_in/articles\2021-07-02_4465.txt
