year,month,2-gram,count
2023,12,and promote,1
2023,12,and sick,1
2023,12,and women,1
2023,12,any more,1
2023,12,apartheid regime,1
2023,12,are massive,1
2023,12,are pointless,1
2023,12,are somewhere,1
2023,12,are the,1
2023,12,artificial intelligence,1
2023,12,as possible,1
2023,12,as unprecedented,1
2023,12,as well,1
2023,12,at UNRWA,1
2023,12,at the,1
2023,12,backing Israel,1
2023,12,backward step,1
2023,12,direct presence,1
2023,12,displaced Palestinians,1
2023,12,early December,1
2023,12,here in,1
2023,12,him wept,1
2023,12,homes for,1
2023,12,hours alone,1
2023,12,humanitarian aid,1
2023,12,hunger risks,1
2023,12,immediate release,1
2023,12,in Beirut,1
2023,12,in warfare,1
2023,12,is brokered,1
2023,12,is fulfilled,1
2023,12,is heading,1
2023,12,is maths,1
2023,12,is needed,1
2023,12,is over,1
2023,12,its operations,1
2023,12,joining us,1
2023,12,last month,1
2023,12,last week,1
2023,12,main hospitals,1
2023,12,many months,1
2023,12,media post,1
2023,12,medical access,1
2023,12,military assistance,1
2023,12,him hugs,1
2023,12,healthcare facilities,1
2023,12,end of,1
2023,12,he told,1
2023,12,entire people,1
2023,12,even alive,1
2023,12,eventually land,1
2023,12,ever will,1
2023,12,fighting began,1
2023,12,first he,1
2023,12,following October,1
2023,12,for Palestinians,1
2023,12,for comment,1
2023,12,for cooking,1
2023,12,for success,1
2023,12,four civilians,1
2023,12,free to,1
2023,12,from Cairo,1
2023,12,from December,1
2023,12,future of,1
2023,12,gone too,1
2023,12,group added,1
2023,12,had skyrocketed,1
2023,12,halted immediately,1
2023,12,hate marches,1
2023,12,he remarked,1
2023,12,he says,1
2023,12,currency swap,1
2023,11,to Palestine,1
2023,12,1 100,1
2023,11,for Palestinian,1
2023,11,even emotions,1
2023,11,even worse,1
2023,11,ever reopen,1
2023,11,everyone in,1
2023,11,everywhere he,1
2023,11,families tomorrow,1
2023,11,family forward,1
2023,11,feeling it,1
2023,11,fighting began,1
2023,11,first step,1
2023,11,follow here,1
2023,11,for children,1
2023,11,escalation he,1
2023,11,for everyone,1
2023,11,for questioning,1
2023,11,for them,1
2023,11,force me,1
2023,11,forces against,1
2023,11,forces in,1
2023,11,foreign ministers,1
2023,11,foreseeable future,1
2023,11,found shelter,1
2023,11,free Palestine,1
2023,11,freed on,1
2023,11,even breathe,1
2023,11,end somehow,1
2023,12,000 others,1
2023,11,continue he,1
2023,11,children according,1
2023,11,citizens held,1
2023,11,civilian targets,1
2023,11,civilians killed,1
2023,11,claimed by,1
2023,11,click here,1
2023,11,colonial Israel,1
2023,11,colonial project,1
2023,11,combat zone,1
2023,11,communication specialist,1
2023,11,conflict recovery,1
2023,11,controversial issues,1
2023,11,economic crisis,1
2023,11,conviction Jackson,1
2023,11,cooking fuel,1
2023,11,crimes she,1
2023,11,current conflict,1
2023,11,current war,1
2023,11,day earlier,1
2023,11,defence system,1
2023,11,destroy Hamas,1
2023,11,developments here,1
2023,11,die because,1
2023,11,earlier on,1
2023,11,from Gaza,1
2023,11,from Hamas,1
2023,11,from fighting,1
2023,11,influence Daher,1
2023,11,in 2016,1
2023,11,in 2024,1
2023,11,in Beirut,1
2023,11,in October,1
2023,11,in advance,1
2023,11,in al,1
2023,11,in hand,1
2023,11,in law,1
2023,11,in northern,1
2023,11,in prison,1
2023,11,individuals safety,1
2023,11,inside al,1
2023,11,fuel shortage,1
2023,11,international forums,1
2023,11,international law,1
2023,11,into reality,1
2023,11,is dire,1
2023,11,is scarier,1
2023,11,is to,1
2023,11,is unbearable,1
2023,11,it added,1
2023,11,it said,1
2023,11,its members,1
2023,11,its responsibilities,1
2023,11,in 2006,1
2023,11,impossible situation,1
2023,11,image Bahgat,1
2023,11,humanity she,1
2023,11,future he,1
2023,11,future is,1
2023,11,gas ambitions,1
2023,11,given he,1
2023,11,go in,1
2023,11,government terminated,1
2023,11,grief forever,1
2023,11,ground offensive,1
2023,11,hand sanitisation,1
2023,11,has denied,1
2023,11,has opposed,1
2023,11,hate marches,1
2023,11,he added,1
2023,11,he told,1
2023,11,heart emoji,1
2023,11,hegemonic view,1
2023,11,him in,1
2023,11,his social,1
2023,11,his termination,1
2023,11,hospitals in,1
2023,11,humanitarian conditions,1
2023,11,humanitarian law,1
2023,11,humanitarian pauses,1
2023,11,channels she,1
2023,11,catastrophe in,1
2023,11,captured according,1
2023,11,absolutely lifesaving,1
2023,11,a mediator,1
2023,11,a month,1
2023,11,a resolution,1
2023,11,a statement,1
2023,11,a success,1
2023,11,a truce,1
2023,11,a vacuum,1
2023,11,a while,1
2023,11,a win,1
2023,11,about Israel,1
2023,11,about genocide,1
2023,11,achieving all,1
2023,11,and Palestine,1
2023,11,administrative detention,1
2023,11,aid agencies,1
2023,11,all civilians,1
2023,11,all frankly,1
2023,11,always apply,1
2023,11,an agenda,1
2023,11,an army,1
2023,11,an attack,1
2023,11,an invasion,1
2023,11,and 18,1
2023,11,and Analyses,1
2023,11,a deal,1
2023,11,a criminal,1
2023,11,a choice,1
2023,11,a bit,1
2023,11,Palestinian 3,1
2023,11,Palestinian authorities,1
2023,11,Palestinians in,1
2023,11,Party in,1
2023,11,Prabowo said,1
2023,11,RepRashida November,1
2023,11,Republican lawmakers,1
2023,11,Rights Watch,1
2023,11,SadiqKhan November,1
2023,11,Saly is,1
2023,11,Sarah Shamim,1
2023,11,Security Council,1
2023,11,September 2023,1
2023,11,Shifa did,1
2023,11,Singapore he,1
2023,11,States Dickinson,1
2023,11,Tamari told,1
2023,11,Telegram channel,1
2023,11,Tuesday night,1
2023,11,UN facilities,1
2023,11,United Kingdom,1
2023,11,Washington DC,1
2023,11,York Times,1
2023,11,and Israel,1
2023,11,and aspirations,1
2023,11,can say,1
2023,11,being targeted,1
2023,11,be covered,1
2023,11,be extended,1
2023,11,be genocide,1
2023,11,be him,1
2023,11,be it,1
2023,11,be sacked,1
2023,11,beating Hamas,1
2023,11,been injured,1
2023,11,been reported,1
2023,11,behind them,1
2023,11,being released,1
2023,11,bell about,1
2023,11,and bloodier,1
2023,11,better future,1
2023,11,between the,1
2023,11,big war,1
2023,11,bombing Gaza,1
2023,11,border crossing,1
2023,11,borders she,1
2023,11,both teams,1
2023,11,boyhood club,1
2023,11,by anyone,1
2023,11,called for,1
2023,11,camp cemetery,1
2023,11,az Zataar,1
2023,11,avoided altogether,1
2023,11,authorities said,1
2023,11,attacks in,1
2023,11,and churches,1
2023,11,and clarity,1
2023,11,and customs,1
2023,11,and despair,1
2023,11,and feel,1
2023,11,and hummus,1
2023,11,and medical,1
2023,11,and skateboarder,1
2023,11,another day,1
2023,11,any form,1
2023,11,apartheid conduct,1
2023,11,approved by,1
2023,11,are here,1
2023,11,are running,1
2023,11,army said,1
2023,11,as human,1
2023,11,as toothpaste,1
2023,11,as well,1
2023,11,assessment said,1
2023,11,assistance annually,1
2023,11,at hand,1
2023,11,at hospitals,1
2023,11,at us,1
2023,11,itself somehow,1
2023,11,kill them,1
2023,11,know them,1
2023,11,the interim,1
2023,11,the West,1
2023,11,the agenda,1
2023,11,the authorities,1
2023,11,the conflict,1
2023,11,the continuous,1
2023,11,the courtyard,1
2023,11,the crossing,1
2023,11,the enclave,1
2023,11,the end,1
2023,11,the graveyard,1
2023,11,the group,1
2023,11,the occupation,1
2023,11,these claims,1
2023,11,the peace,1
2023,11,the region,1
2023,11,their constituents,1
2023,11,their control,1
2023,11,their families,1
2023,11,their free,1
2023,11,their hands,1
2023,11,their identity,1
2023,11,their land,1
2023,11,their safety,1
2023,11,their wallets,1
2023,11,the Palestinians,1
2023,11,that role,1
2023,11,that line,1
2023,11,that happens,1
2023,11,she said,1
2023,11,simply not,1
2023,11,since 2006,1
2023,11,since 2018,1
2023,11,single conflict,1
2023,11,situation in,1
2023,11,six weeks,1
2023,11,skin instead,1
2023,11,snapshot of,1
2023,11,southern Gaza,1
2023,11,spokesperson added,1
2023,11,state of,1
2023,11,suffering through,1
2023,11,sympathetic to,1
2023,11,take place,1
2023,11,take time,1
2023,11,taken refuge,1
2023,11,tank shells,1
2023,11,teams there,1
2023,11,terrorist activities,1
2023,11,tested again,1
2023,11,than before,1
2023,11,that changing,1
2023,11,them civilians,1
2023,11,they do,1
2023,11,shameful position,1
2023,11,will stay,1
2023,11,violence he,1
2023,11,viral on,1
2023,11,vis Iran,1
2023,11,wafts everywhere,1
2023,11,war against,1
2023,11,war began,1
2023,11,water in,1
2023,11,were unsuccessful,1
2023,11,what to,1
2023,11,will live,1
2023,11,will not,1
2023,11,will stop,1
2023,11,this carnage,1
2023,11,with Egypt,1
2023,11,with Starlink,1
2023,11,with guns,1
2023,11,with it,1
2023,11,with them,1
2023,11,without exception,1
2023,11,women in,1
2023,11,world said,1
2023,11,wounded Palestinians,1
2023,11,you are,1
2023,12,00 GMT,1
2023,11,via Egypt,1
2023,11,very dangerous,1
2023,11,very bad,1
2023,11,up unproven,1
2023,11,this differently,1
2023,11,this hell,1
2023,11,this long,1
2023,11,this the,1
2023,11,to Hamas,1
2023,11,to Israel,1
2023,11,to OCHA,1
2023,12,to happen,1
2023,11,to Palestinian,1
2023,11,to Save,1
2023,11,to attend,1
2023,11,to die,1
2023,11,to do,1
2023,11,to home,1
2023,11,to northern,1
2023,11,to survive,1
2023,11,too soon,1
2023,11,treat casualties,1
2023,11,truce came,1
2023,11,trying times,1
2023,11,two of,1
2023,11,under control,1
2023,11,unfolding genocide,1
2023,11,she added,1
2023,11,severely overcrowded,1
2023,11,last fool,1
2023,11,of bread,1
2023,11,not Israelis,1
2023,11,not a,1
2023,11,not alone,1
2023,11,not productive,1
2023,11,not tolerable,1
2023,11,occupy the,1
2023,11,of Gaza,1
2023,11,of Human,1
2023,11,of South,1
2023,11,of War,1
2023,11,of al,1
2023,11,of civilians,1
2023,11,on Israel,1
2023,11,of fire,1
2023,11,of genocide,1
2023,11,of law,1
2023,11,of life,1
2023,11,of reason,1
2023,11,of reasonableness,1
2023,11,of terrorism,1
2023,11,of that,1
2023,11,of the,1
2023,11,office said,1
2023,11,on Friday,1
2023,11,northern Gaza,1
2023,11,no support,1
2023,11,no return,1
2023,11,no response,1
2023,11,last month,1
2023,11,like the,1
2023,11,like this,1
2023,11,live together,1
2023,11,lives here,1
2023,11,low levels,1
2023,11,may be,1
2023,11,memory I,1
2023,11,men cried,1
2023,11,midnight on,1
2023,11,million people,1
2023,11,ministry in,1
2023,11,more in,1
2023,11,more people,1
2023,11,more torture,1
2023,11,mostly in,1
2023,11,must stop,1
2023,11,my life,1
2023,11,needing healthcare,1
2023,11,new ties,1
2023,11,news of,1
2023,11,no humanity,1
2023,11,no longer,1
2023,11,on Gaza,1
2023,11,on October,1
2023,11,self defence,1
2023,11,resumption of,1
2023,11,political tensions,1
2023,11,posted on,1
2023,11,posts in,1
2023,11,potential flooding,1
2023,11,press conference,1
2023,11,rages on,1
2023,11,recent days,1
2023,11,regional conflagration,1
2023,11,released on,1
2023,11,relentless bombardment,1
2023,11,reported missing,1
2023,11,right now,1
2023,11,on Saturday,1
2023,11,rights violation,1
2023,11,role in,1
2023,11,root causes,1
2023,11,said Barghouti,1
2023,11,said Enough,1
2023,11,said Tomorrow,1
2023,11,said on,1
2023,11,satisfying compromise,1
2023,11,say no,1
2023,11,says Alterman,1
2023,11,seeking refuge,1
2023,11,political ends,1
2023,11,point analysis,1
2023,11,playing there,1
2023,11,peoples identities,1
2023,11,on X,1
2023,11,on board,1
2023,11,on the,1
2023,11,on this,1
2023,11,one before,1
2023,11,one nation,1
2023,11,ones he,1
2023,11,or another,1
2023,11,or charge,1
2023,11,or later,1
2023,11,organisation said,1
2023,11,other children,1
2023,11,our democracy,1
2023,11,our families,1
2023,11,our goals,1
2023,11,our principles,1
2023,11,our rights,1
2023,11,out Starkly,1
2023,11,out the,1
2023,11,over migration,1
2023,11,own interests,1
2023,11,people he,1
2023,11,people of,1
2023,12,to evacuate,1
2024,01,6 2024,1
2023,12,to resign,1
2024,03,been displaced,1
2024,03,Tamari told,1
2024,03,United States,1
2024,03,Walla reported,1
2024,03,Washington DC,1
2024,03,WhiteHouse March,1
2024,03,Will End,1
2024,03,York Times,1
2024,03,a minute,1
2024,03,a whole,1
2024,03,according to,1
2024,03,actually pivot,1
2024,03,aid organisations,1
2024,03,and France,1
2024,03,and Freedom,1
2024,03,and clarity,1
2024,03,and horticulture,1
2024,03,and peace,1
2024,03,and starvation,1
2024,03,anytime soon,1
2024,03,are sheltering,1
2024,03,armed group,1
2024,03,as captives,1
2024,03,assessment warned,1
2024,03,be consequences,1
2024,03,be released,1
2024,03,Southern Africa,1
2024,03,Slobodan Milosevic,1
2024,03,Saree said,1
2024,03,Mahmoud reported,1
2024,03,Hamas in,1
2024,03,Israeli authorities,1
2024,03,Israeli jails,1
2024,03,Israeli settlements,1
2024,03,Israeli state,1
2024,03,Israeli territory,1
2024,03,IsraeliPM March,1
2024,03,Jameel Hodzic,1
2024,03,Jim Risch,1
2024,03,Legislative Council,1
2024,03,Local Call,1
2024,03,Mason University,1
2024,03,Refugees UNRWA,1
2024,03,Matar told,1
2024,03,National Initiative,1
2024,03,Netzah Yehuda,1
2024,03,Palestinian Territory,1
2024,03,Palestinian liberation,1
2024,03,Palestinian state,1
2024,03,Palestinian territory,1
2024,03,Palestinians out,1
2024,03,Patel told,1
2024,03,Ramadan approaches,1
2024,03,Ramallah in,1
2024,03,be unforgivable,1
2024,03,been fruitless,1
2024,03,medicine water,1
2024,03,been obliterated,1
2024,03,foreign policy,1
2024,03,from hunger,1
2024,03,from reprisal,1
2024,03,from us,1
2024,03,front lines,1
2024,03,harm Al,1
2024,03,he asked,1
2024,03,he told,1
2024,03,health authorities,1
2024,03,held captive,1
2024,03,in 1948,1
2024,03,in Brussels,1
2024,03,in February,1
2024,03,in October,1
2024,03,interests Wang,1
2024,03,international aid,1
2024,03,international front,1
2024,03,it received,1
2024,03,its borders,1
2024,03,its roof,1
2024,03,jail time,1
2024,03,largely negative,1
2024,03,mahmoud _,1
2024,03,manufacturing components,1
2024,03,many years,1
2024,03,for talks,1
2024,03,for Palestinians,1
2024,03,eyes of,1
2024,03,could intensify,1
2024,03,been received,1
2024,03,been wounded,1
2024,03,before October,1
2024,03,before the,1
2024,03,besieged enclave,1
2024,03,blocking of,1
2024,03,can change,1
2024,03,centre said,1
2024,03,citizenship the,1
2024,03,closed cyberspace,1
2024,03,conflict resolution,1
2024,03,crushed he,1
2024,03,enter soon,1
2024,03,dehumanising Palestinians,1
2024,03,delivering assistance,1
2024,03,demand growth,1
2024,03,der Leyen,1
2024,03,deter him,1
2024,03,did something,1
2024,03,difference he,1
2024,03,doing there,1
2024,03,each other,1
2024,03,emergency aid,1
2024,03,enough fuel,1
2024,03,Gaza City,1
2024,03,February 4,1
2024,03,European Union,1
2024,03,Democratic base,1
2024,02,s war,1
2024,02,same period,1
2024,02,same time,1
2024,02,says We,1
2024,02,security of,1
2024,02,shipping traffic,1
2024,02,source said,1
2024,02,southern Israel,1
2024,02,sovereign Palestine,1
2024,02,sovereign state,1
2024,02,standing internationally,1
2024,02,struggling economy,1
2024,02,stuck to,1
2024,02,such way,1
2024,02,t forget,1
2024,02,taking shelter,1
2024,02,tax benefits,1
2024,02,the Palestinians,1
2024,02,the White,1
2024,02,the attacks,1
2024,02,the oppressors,1
2024,02,the population,1
2024,02,the region,1
2024,02,the three,1
2024,02,the world,1
2024,02,s lives,1
2024,02,s houses,1
2024,02,s funding,1
2024,02,presumed dead,1
2024,02,our economy,1
2024,02,our neighbours,1
