,x,y,word
156,3.9043348,0.59432757,Gaza
157,-0.24948113,0.10858243,following
158,0.1545309,0.9993729,a
159,0.2941287,-1.0512692,surprise
160,3.496055,-0.15393493,Hamas
161,0.03201642,-0.6057433,"attack,"
162,-0.23300272,-0.021585265,it
163,-0.73079216,-1.1808952,has
164,-0.22231482,-0.21622124,killed
165,-0.5976179,0.8745157,at
166,-0.84921575,-0.37467238,least
167,-0.29871842,-0.57776976,"11,400"
168,3.490607,0.79781336,Palestinian
169,1.592181,-0.74562484,"civilians,"
170,-1.2161363,-0.48272634,and
171,-0.018729309,0.22629467,injured
172,0.04838885,-0.4903237,"30,000"
173,-0.6925501,1.53092,in
174,-0.11893853,2.3327541,the
175,0.78193897,-0.4724107,besieged
176,-0.31662384,-0.5960908,strip
177,-1.2161363,-0.48272634,and
178,-0.11893853,2.3327541,the
179,0.29695505,0.1131993,occupied
180,0.6899566,0.012215065,West
181,0.45722595,-0.2223257,Bank.
182,-0.90376073,-0.61832315,More
183,-0.86307114,-0.3090885,than
184,-0.19257088,-0.45501322,"4,700"
185,-1.4888046,0.35862178,of
186,3.291191,0.31890044,Gaza’s
187,0.2972365,-0.37506664,children
188,-0.545962,-0.3623994,are
189,-0.14228417,-0.4526764,dead.
190,3.496055,-0.15393493,Hamas
191,0.8040843,-0.90866023,fighters
192,-0.22231482,-0.21622124,killed
193,-0.042173523,-0.3802542,"1,200"
194,0.8577482,-0.09434631,people
195,-0.6925501,1.53092,in
196,-0.034552496,0.87932605,their
197,-0.101418,-0.11671741,October
198,-0.78499293,-0.12784216,7
199,-0.097097486,-0.53567433,attack.
200,2.3934238,-0.11837646,Israel’s
201,-0.20242003,-0.8123756,devastatingly
202,-0.2859618,-0.48109686,“surgical”
203,-0.021823265,-0.7162674,killing
204,0.57924366,-0.46421054,"machines,"
205,-0.13791859,-0.4614226,tested
206,-0.9207662,0.2957846,on
207,3.2825243,0.66406786,"Palestinians,"
208,-1.0029069,-1.0113965,have
209,0.39692518,-0.063311286,global
210,-0.030494796,-0.8412009,"takers,"
211,-0.90338635,-0.76156443,say
212,0.6332463,-0.60961133,analysts.
213,1.528993,0.5436907,Ahmed
214,-0.044438828,0.16785018,Saeed
215,0.98393106,-0.013765009,"al-Najar,"
216,-0.059465226,0.104403645,"28,"
217,-0.8847387,-0.24112436,was
218,0.19676751,0.072762765,driving
219,-0.6990473,1.193687,his
220,0.6898901,0.29963183,taxi
221,-0.6925501,1.53092,in
222,0.91882014,0.0071877846,Rafah
223,-0.0063988944,0.1832411,during
224,3.291191,0.31890044,Gaza’s
225,-0.387924,0.19383642,third
226,0.49886417,-0.9821443,war
227,-1.4888046,0.35862178,of
228,-0.14967616,0.26958323,2014
229,-0.62033206,0.026329355,when
230,0.1545308,0.9993731,a
231,1.0937309,-1.1168408,drone
232,1.0687307,-0.93046117,missile
233,-0.65240574,-0.29372057,came
234,-0.6925501,1.53092,in
235,-0.6146878,0.44989857,through
236,-0.11893854,2.3327544,the
237,-0.2844618,0.2715104,open
238,0.016823431,-0.6028344,sunroof
239,-1.4888046,0.35862178,of
240,-0.6990473,1.193687,his
241,0.5767216,0.102621034,taxi.
242,-0.23300272,-0.021585265,It
243,0.19185977,-0.5225454,exploded
244,-0.6925501,1.53092,in
245,-0.11893853,2.3327541,the
246,0.3653271,0.27256903,"car,"
247,-0.09607633,-0.67564726,instantly
248,0.41557014,-0.57191956,decapitating
249,-1.2161363,-0.48272562,and
250,-0.021823265,-0.7162674,killing
251,-0.35526812,-0.22643845,all
252,-0.58656156,-0.12010101,six
253,-1.4888046,0.3586218,of
254,-0.6990473,1.1936872,his
255,0.5177891,-0.20172802,"passengers,"
256,-0.6990473,1.1936872,his
257,-0.49736765,-0.4098232,best
258,-0.3939317,-0.64807546,friend
259,-1.03017,-0.3786295,included
