,x,y,title,no,topic_no
135,0.300254,0.16286023,"135-Gaza’s Christians fear ‘threat of extinction’ amid Israel war

",135,"33: church, christians, christian, christmas"
136,0.09001736,0.0073575606,"136-‘Terrorism’: Israel-Hamas conflict has gone ‘beyond war’ says Pope Francis

",136,"33: church, christians, christian, christmas"
137,0.23869857,0.23862535,"137-‘If Christ were born today, he would be born under rubble, Israeli bombing’

",137,"33: church, christians, christian, christmas"
138,0.3102706,0.15835276,"138-Israel army kills 2 Christian women in ‘cold blood’ at Gaza church compound

",138,"33: church, christians, christian, christmas"
139,0.2879015,0.30407566,"139-‘Without work and hope’: Bethlehem’s Christmas economy bleeds from Gaza war

",139,"33: church, christians, christian, christmas"
140,0.2737262,0.31957132,"140-‘Our hearts in Bethlehem’, says Pope in Christmas Eve mass, shadowed by war

",140,"33: church, christians, christian, christmas"
141,0.32500637,0.27027872,"141-Muted Christmas as Palestinian Christians mourn for Gaza

",141,"33: church, christians, christian, christmas"
142,0.40860802,0.37480274,"142-What are Palestine’s unique Christmas rituals, disrupted by Israel’s war?

",142,"33: church, christians, christian, christmas"
143,0.44315168,0.20861067,"143-What message do Palestinian Christians send by cancelling Christmas?

",143,"33: church, christians, christian, christmas"
144,0.18065414,0.06428331,"144-As Israel strikes all around it, fear rises in Lebanon’s Sidon

",144,"33: church, christians, christian, christmas"
145,0.34051827,0.2449915,"145-Palestinian Christians barred from Jerusalem’s Old City at Easter

",145,"33: church, christians, christian, christmas"
146,0.27883676,0.37168136,"146-Lost in Orientalism: Arab Christians and the war in Gaza

",146,"33: church, christians, christian, christmas"
147,0.122176655,0.22163129,"147-Pope renews call for Gaza ceasefire, release of captives in Easter address

",147,"33: church, christians, christian, christmas"
