,x,y,title,no
68,-0.13235581,0.039932925,"68-UN: Gaza ‘catastrophe’ threatens to raise record global displacement

",68
69,-0.11492951,-0.11589915,"69-‘We’re on the right side of history’: Celtic’s growing feud over Palestine

",69
70,0.5103223,2.158603,"70-Israel-Hamas war: List of key events, day 21

",70
71,-0.16028175,-0.025310388,"71-Against the ‘Denkverbot’: If you cancel Palestine, cancel us

",71
72,-0.07065623,0.1234095,"72-Why is Israel’s prime minister determined to attack Rafah?

",72
73,-0.1370125,-0.031732507,"73-Is Israel in breach of the ruling by the International Court of Justice?

",73
74,-0.13793358,0.0060412567,"74-Hate speech and pogroms in the West Bank

",74
75,-0.18046714,0.013061035,"75-Palestinian children traumatised by Israeli home invasions

",75
76,-0.21662208,-0.035247892,"76-China-Middle East summit told ‘Israel seeks to end Palestinians’ presence’

",76
77,-0.11492951,-0.11589915,"77-‘We’re on the right side of history’: Celtic’s growing feud over Palestine

",77
78,-0.10825413,-0.114089966,"78-Palestinian Authority critic dies during arrest by PA

",78
79,-0.08563685,0.0031390197,"79-Generation Z will free Palestine

",79
80,-0.058071334,-0.028248932,"80-Tensions surge at US universities as students rally over Israel-Hamas war

",80
81,-0.10988722,-0.08363683,"81-Heavy clashes as Israeli tanks briefly reach Gaza City outskirts

",81
82,-0.07970333,-0.06906038,"82-Israel blocks thousands of Palestinians from visiting Al-Aqsa Mosque

",82
83,-0.19317636,-0.06690602,"83-Palestinians wounded after Israeli forces raid camp in West Bank

",83
84,-0.11063315,0.04955454,"84-Inside the eviction of Palestinians losing their Jerusalem home

",84
85,0.41465008,1.8717105,"85-Israel’s war on Gaza: List of key events, day 174

",85
86,-0.09070762,-0.052594345,"86-Israel launches artillery attacks on Syria after rocket fire

",86
87,3.0400198,-0.35345986,"87-Israel war on Gaza updates: Condemnation after Israel kills 2 journalists

",87
88,-0.13012649,-0.090106405,"88-Rockets fired from southern Lebanon towards Israel as Gaza is bombed

",88
89,0.058911636,-0.19184148,"89-No ease in human suffering in Gaza amid Israel war

",89
90,-0.0901693,0.030921457,"90-US vetoes UN resolution calling for Gaza ceasefire

",90
91,-0.11306691,-0.19040507,"91-The storming of Al-Aqsa: ‘The patients kept on coming like waves’

",91
92,0.4402797,1.8790084,"92-Israel-Hamas war: List of key events, day 59

",92
93,-0.03365822,0.012536752,"93-New York police arrest hundreds after Israel-Hamas protest at Grand Central

",93
94,-0.032472074,-0.050715458,"94-Qatari, Egyptian, Saudi FMs discuss Gaza crisis with top US envoy

",94
95,-0.092032984,0.03641609,"95-When will Israel stop torturing Palestinian prisoners?

",95
96,-0.22853461,-0.09303047,"96-Israel should learn from French mistakes in Algeria

",96
97,-0.09412955,-0.1020826,"97-UN chief urges immediate ceasefire in Israel-Palestine conflict

",97
98,-0.17846853,-0.0059003676,"98-Palestine’s Abbas calls on UN to ‘suspend’ Israel as Nakba marked

",98
99,-0.017266069,-0.19488516,"99-Gaza attacks: Fear, finality, and farewells as bombs rained down

",99
